Site,Longitude,Latitude,Region,Name
Parpallo,-0.33,38.92,Mediterranean,yes
La Pasiega,-3.97,43.29,Northern Iberia,no
Pelbarte,-2.19,42.79,Northern Iberia,no
Peña Capón,-3.2,40.96,Central Iberia,yes
Peña de Candamo,-6.07,43.46,Northern Iberia,yes
Penascosa,-7.1,40.99,Central Iberia,yes
El Pendo,-3.91,43.39,Northern Iberia,yes
Pileta,-5.25,36.72,Mediterranean,no
Poço Velho,-9.42,38.7,Atlantic,yes
Prado,-2.85,42.75,Northern Iberia,no
Praileaitz,-2.37,43.28,Northern Iberia,no
Quinta da Barca,-7.1,40.99,Central Iberia,yes
Luz de Ramales,-3.46,43.26,Northern Iberia,no
El Rascaño,-3.7,43.29,Northern Iberia,no
Ratlla del Bubo,-0.8,38.25,Mediterranean,yes
Reclau Viver,2.75,42.16,Mediterranean,no
La Riera,-4.86,43.42,Northern Iberia,yes
Roc de la Melca,1.55,42.43,Mediterranean,no
Cova Rosa,-5.11,43.44,Northern Iberia,no
El Ruso,-3.89,43.43,Northern Iberia,yes
Salemas,-9.2,38.88,Atlantic,yes
El Salitre,-3.71,43.26,Northern Iberia,no
Santa Maira,-0.13,38.7,Mediterranean,yes
Santimamiñe,-2.64,43.35,Northern Iberia,no
Sopeña,-4.97,43.34,Northern Iberia,no
Terra do Manuel,-8.99,39.34,Atlantic,no
Tres Calabres,-4.87,43.42,Northern Iberia,no
Urtiaga,-2.32,43.28,Northern Iberia,no
Vala,-8.42,37.15,Atlantic,yes
Vale Almoinha,-9.4,39.08,Atlantic,no
Vale Boi,-8.81,37.09,Atlantic,yes
Valle de las Orquídeas ,-3.53,42.39,Central Iberia,yes
Valverde,-7.48,42.56,Northern Iberia,yes
La Viña,-5.83,43.31,Northern Iberia,no
Xemeneia,-0.22,38.73,Mediterranean,no
Zafarraya,-4.13,36.95,Mediterranean,no
Zatoya,-1.18,42.9,Northern Iberia,no
