Site,Level,Lab. Reference,Age,Standard Deviation,Sample type,Method,Phase attribution,Region,Reference,Accepted,Notes
"Mirón, El",119,GX-25858,16960,160,Bone,AMS,Solutrean,Northern Iberia,"Straus et al, 2011",No,Stratigraphically incoherent
"Mirón, El",319,GX-25858,16960,80,Charcoal,AMS,Solutrean/Lower Magdalenian,Northern Iberia,"Straus and González Morales, 2003",Yes,
El Castillo,Goat 56-57,GifA-98153,16980,180,Charcoal,AMS,Cantabric Lower Magdalenian,,,No,
La Boja,OH6,VERA-5364-a,16990,70,Charcoal,AMS,Solutrense /SG,Mediterranean,"Zilhao et al., 2017",Yes,
"Caldas, Las",4 (pasillo),Ly-2422,17050,290,Bone,C14,"Final Solutrean (Archaic Magdalenian following Aura et al., 2012)",Northern Iberia,"Corchón et al., 1999",Yes,
Arlanpe,III,Beta-238178,17060,80,Bone,AMS,Upper Solutrean,Northern Iberia,"Ríos Garáizar et al, 2008",No,"No. Dating from reworked context, postquen for layer II (Ríos Garáizar et al., 2008:99-101"
"Riera, La",17,Gak-6444,17070,230,Charcoal,C14,Upper Solutrean/Lower Magdalenian,Northern Iberia,"Straus and Clark, 1986",No,"problematic (Muñoz Ibáñez, 2000:38)"
"Santa Maira, CG",CG II-9,OxA-23114,17130,80,Charcoal,AMS,Cuon alpinus,Mediterranean,"Pérez Ripoll et al., 2013",No,No context
"Riera, La",20,GaK-6980,17160,440,charcoal,C14,,Northern Iberia,"Straus, 1986",Yes,
Arlanpe,II,Beta-261389,17160,70,Bone,AMS,Upper Solutrean,Northern Iberia,"Ríos et al., 2014",Yes,
Altamira,6,GrA-32760,17200,90,Bone,AMS,Upper Solutrean,Northern Iberia,"Lasheras et al., 2012",Yes,
Cendres,XIII M9,Beta-287543,17210,60,Charcoal,C14,"Solutrense

",Mediterranean,"Martínez-Alfaro et al., 2019",Yes,
"Riera, La",12,GaK-6446,17210,350,bone,C14,Upper Solutrean/Badegoulian?,Northern Iberia,Straus and Clark 1986,Yes,
"Riera, La",15,UCR-1272A,17225,350,bone,C14,Upper Solutrean/Badegoulian?,Northern Iberia,"Straus, 1986",Yes,
Cendres,XIII 62,Beta-118024,17230,130,Charcoal,C14,"Solutrense

",Mediterranean,"Martínez-Alfaro et al., 2019",Yes,
Arlanpe,II,Beta-261388,17260,70,Bone,AMS,Upper Solutrean,Northern Iberia,"Ríos et al., 2014",Yes,
L'Arbreda,,Gif-6418,17320,290,charcoal,C14,Solutrense,Mediterranean,"Delibrias et al., 1987",Yes,
Ratlla del Bubo,II (hogar),Ly-5219,17360,180,Charcoal,C14,Solutrense /SG,Mediterranean,"Soler Mayor et al., 1990",Yes,
"Caldas, Las",XIVc (Sala 2),Ua-4302,17380,215,Bone,AMS,Upper Solutrean (Archaic Magdlaenian following Aura et al 2012),Northern Iberia,"Corchón Rodríguez, 1994",Yes,
"Mirón, El",313,GX-31194,17400,270,Bone,AMS?/C14?,"Upper Solutrean (Archaic Magdalenian in Aura et al., 2012)",Northern Iberia,"Straus et al., 2008",Yes,
"Chufín, Cueva",I,CSIC-258,17420,200,Bone,C14,Upper Solutrean,Northern Iberia,"Soto Barreiro, 2003",Yes,"Yes (Soto Barreiro, 2003)"
La Boja,OH6,VERA-5364-b,17430,70,Charcoal,AMS,Solutrense /SG,Mediterranean,"Zilhao et al., 2017",Yes,
Lapa do Picareiro,O,Beta-247965,17480,100,Charcoal,AMS,Solutrean,Portugal,Haws et al. 2019,Yes,
Askondo,4,Beta-316473,17490,90,Burned bone,C14,Upper Solutrean,Northern Iberia,"García-Ibaibarriaga et al., 2015",Yes,
Bolinkoba,,,17490,90,,,Solutrean,,,No,
CPM IIIS,Inferior,SMU-2633,17515,270,Charcoal,C14,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,No,
Praileaitz,IX,Beta-341898,17530,70,Bone,AMS,Solutrean,Northern Iberia,Peñalver et al 2017,Yes,
