Age,SST
37.448378,15.08097406
37.622703,14.02637876
37.738919,14.19770388
37.913243,14.10746142
38.029459,14.19564698
38.203784,14.07577431
38.32,13.93416472
38.601667,11.37877326
38.789444,10.41296171
39.071111,10.33747263
39.258889,9.469059048
39.728333,10.65883932
39.822222,10.97520122
40.01,13.02948403
40.106,14.0540431
40.25,13.33029308
40.446,13.06619124
40.74,13.83866676
40.862857,14.24034732
41.047143,13.69714472
41.17,13.43747982
41.329,12.87902481
41.435,12.23190853
41.6205,13.43666455
41.7,14.77680778
41.831667,14.24338975
41.919444,15.1580732
42.051111,14.11941868
42.138889,14.89651539
42.270556,13.95555338
42.358333,14.26867026
42.49,14.00842072
42.71,12.52673819
42.906,12.28061882
43.004,12.81751005
43.2,14.11521273
43.4496,15.13202516
43.616,16.36884818
43.8656,15.79384773
44.2816,16.05616683
44.448,16.25140616
44.6976,15.25124549
44.864,15.2431875
45.1136,14.54032359
45.28,14.42972678
45.568462,11.91361311
45.760769,11.0505147
46.049231,10.36323494
46.241538,11.53725062
46.53,13.00072133
46.818,14.03016245
47.25,13.55854277
47.388,14.27895456
47.595,14.57746709
47.733,14.2167683
47.94,14.43086501
48.078,14.30407956
48.285,14.19861745
48.423,14.70867025
48.63,14.66531515
48.768,15.22044769
48.975,15.15236327
49.182,16.13772389
49.32,15.18727276
49.594737,15.64626196
50.006842,15.50933391
50.556316,15.65541548
50.693684,15.42880798
50.968421,15.74459863
51.380526,16.20211683
51.655263,16.45867227
51.93,16.62753489
